Дата;Регион;Заражений;Выздоровлений;Смертей
18.05.2020;Россия;290678;70209;2722
25.05.2020;Россия;376693;121166;3179
17.06.2020;Россия;610701;386150;4159
18.05.2020;Московская обл.;28290;3361;268
25.05.2020;Московская обл.;34551;5392;357
17.06.2020;Московская обл.;50729;11868;557
18.05.2020;Москва;146062;28913;1580
25.05.2020;Москва;188122;21137;1819
17.06.2020;Москва;292962;30369;2411
18.05.2020;Санкт-Петербург;10887;2209;90
25.05.2020;Санкт-Петербург;13782;2508;113
17.06.2020;Санкт-Петербург;24004;2898;204
18.05.2020;Россия;290678;70209;2722
18.05.2020;Россия;290678;70209;2722
18.05.2020;Россия;290678;70209;2722
25.05.2020;Россия;376693;121166;3179
17.06.2020;Россия;610701;386150;4159
18.05.2020;Московская обл.;28290;3361;268
25.05.2020;Московская обл.;34551;5392;357
17.06.2020;Московская обл.;50729;11868;557
18.05.2020;Москва;146062;28913;1580
25.05.2020;Москва;188122;28913;1819
17.06.2020;Москва;292962;30369;2411
18.05.2020;Санкт-Петербург;10887;2209;90
25.05.2020;Санкт-Петербург;13782;2508;113
17.06.2020;Санкт-Петербург;24004;2898;204
